SMILES,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,EState_VSA2,HeavyAtomCount,Kappa1,Kappa2,Kappa3,LabuteASA,MolLogP,PEOE_VSA14,Predcited_Energy,DFT_Energy
[Se]=C=[Se],3.266,23.774,2.707,1.316,4.743,1.414,0.408,2.121,0.083,2.25,0,3,3.819,2.819,2.819,34.938,-1.04,34.571,8.7914,8.891460822
[PbH6+2].[Se-2],0,2,0,0.408,2.121,0,0,0,0,0,44.367,2,9.872,2.442,0.135,44.247,-2.368,27.299,1.6237,1.672579914
[Se](CCN)c1ccccc1,2.427,173.872,7.234,5.787,7.5,4.932,3.312,5.38,1.95,4.401,0,10,7.803,4.505,2.525,67.782,0.393,67.348,43.2521,43.16183166
[Nb](O[Nb](=O)=O)(=O)=O,3.773,134.519,5.862,2.936,7.333,3.126,1.095,6.481,0.529,5.503,0,7,7.641,3.619,6.641,52.222,-0.549,52.325,33.8806,33.7803781
[Se](C#CC)C#CC,3.213,119.034,5.536,4.408,6.121,3.414,1.908,3.621,0.806,2.091,14.957,7,6.639,5.639,5.639,50.843,0.652,50.283,30.6126,30.71318565
[Se](C(F)(F)F)C(F)(F)F,3.746,76.211,7.707,3.676,5.389,3.707,1.542,3.255,0.994,3.364,0,9,9.099,2.379,8.099,52.378,1.73,51.449,22.0938,22.19436772
[Se](c1ccccc1)C(Cl)=CCl,2.654,243.529,8.104,5.628,8.853,5.326,3.015,5.542,1.828,5.302,14.957,11,9.15,4.841,3.306,82.359,2.293,82.418,58.0801,58.07242449
[Se](c1oc(C)cc1)CC,2.614,180.797,6.69,5.678,7.391,4.326,3.019,5.087,1.798,4.459,0,9,6.913,3.092,1.884,61.601,1.356,61.092,44.3945,44.49430701
[Se](CCO)c1ccccc1,2.427,173.872,7.234,5.656,7.369,4.932,3.22,5.288,1.885,4.336,0,10,7.803,4.505,2.525,67.236,0.427,66.783,43.1342,43.07236196
[Se](C(C)(C)C)c1ccccc1,2.658,208.064,8.32,7.295,9.008,5.078,3.819,5.532,3.527,7.514,0,11,8.833,3.424,3.595,75.172,2.234,74.835,51.7966,51.69669527
BrCC[Se]CCBr,2.447,28.871,5.536,3.993,8.878,3.414,2.112,6.777,0.99,5.146,0,7,8.479,7.479,7.479,67.85,2.317,68.115,13.7159,13.61638838
[Se](CC)c1occc1,2.5,134.249,5.82,4.756,6.469,3.932,2.595,4.663,1.365,4.026,0,8,5.928,2.954,1.391,55.236,1.047,54.671,33.9827,33.97531377
[V],0,0,0,0.447,1.844,0,0,0,0,0,18.556,1,1.584,0.296,3.429,19.377,-0.003,0,1.1008,1.179727932
[Sb]#[Ga],3,6.755,2,1.025,6,1,0.258,9,0,0,0,2,3.455,2.455,0.142,33.125,-0.762,33.224,5.661,5.761460392
[Se](c1ccc(OC)cc1)c1ccccc1,2.114,408.311,10.51,8.513,10.226,7.381,4.753,6.466,3.091,5.497,0,15,10.283,5.014,2.852,96.248,1.35,96.074,93.5448,93.48007865
[Se](CCCC)c1ccccc1,2.276,181.324,7.941,6.916,8.629,5.432,4.111,6.178,2.515,4.966,0,11,8.833,5.398,3.595,75.172,2.234,74.835,45.9556,45.78332922
[Se](c1sccc1)CC=C,2.381,167.052,6.527,5.04,7.57,4.432,2.704,5.652,1.532,5.291,0,9,7.071,3.887,2.354,65.758,1.682,65.556,41.4076,41.38325992
[Se](c1ccccc1)CC=CC,2.39,213.574,7.941,6.657,8.37,5.432,3.722,5.79,2.193,4.487,0,11,8.575,5.172,3.405,74.482,2.01,74.146,52.1839,52.15130673
[Se]1[As]=[As]1,2.732,25.774,2.121,1.303,6.769,1.5,0.565,15.259,0.245,34.365,0,3,2.852,1.176,1.401,33.321,-1.142,33.46,9.97,10.07039742
